name,symbol,link
FAURECIA,EO.MI,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/FR0000121147.html?lang=it
FENIX ENTERTAINMENT,FNX.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005403495.html?lang=it
FERRARI,RACE.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/NL0011585146.html?lang=it
FERVI,FVI.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005325912.html?lang=it
FIDIA,FDA.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001498481.html?lang=it
FIERA MILANO,FM.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003365613.html?lang=it
FILA,FILA.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004967292.html?lang=it
FINANZA.TECH,FTC.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005475162.html?lang=it
FINCANTIERI,FCT.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001415246.html?lang=it
FINE FOODS & PHARMACEUTICALS NTM,FF.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005215329.html?lang=it
FINECOBANK,FBK.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0000072170.html?lang=it
FINLOGIC,FNL.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005256323.html?lang=it
FIRST CAPITAL,FCAP,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005252736.html?lang=it
FNM,FNM.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0000060886.html?lang=it
FOPE,FPE.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005203424.html?lang=it
FOS,FOS.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005388217.html?lang=it
FRANCHI UMBERTO MARMI,FUM.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005335754.html?lang=it
FRENDY ENERGY,FDE.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0004819857.html?lang=it
FRESENIUS,FRE.DE,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/DE0005785604.html?lang=it
FRESENIUS MEDICAL CARE,FME,https://www.borsaitaliana.it//borsa/azioni/global-equity-market/scheda/DE0005785802.html?lang=it
FRIULCHEM,FCM.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005378457.html?lang=it
FULLSIX,FUL.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0001487047.html?lang=it
G RENT,GSR.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005445108.html?lang=it
GABETTI,GAB.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005023038.html?lang=it
GAMBERO ROSSO,GAMB.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005122392.html?lang=it
GAROFALO HEALTH CARE,GHC.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005345233.html?lang=it
GAS PLUS,GSP.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0004098510.html?lang=it
GEFRAN,GE.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003203947.html?lang=it
GEL,GEL.MI,https://www.borsaitaliana.it//borsa/azioni/euronext-growth-milan/scheda/IT0005312365.html?lang=it
GENERALFINANCE,GF.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0005144784.html?lang=it
GENERALI ASS,G.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0000062072.html?lang=it
GEOX,GEO.MI,https://www.borsaitaliana.it//borsa/azioni/scheda/IT0003697080.html?lang=it
